"original order","Book","Chapter","Verse","lex","Verb classes","Verb classes correction","g_word_nocant","not usable for exercises because K/Q","g_word_nocant_utf8","ps","nu","gn","vt","vs","suffix_person","suffix_number","suffix_gender","ps2","nu2","gn2","vt2","vs2","suffix_person2","suffix_number2","suffix_gender2","ps3","nu3","gn3","vt3","vs3","suffix_person3","suffix_number3","suffix_gender3","ps4","nu4","gn4","vt4","vs4","suffix_person4","suffix_number4","suffix_gender4"
1,"Jeremia",10,11,">MR[","(i_aleph)",,"T.;>M:RW.N",,"תֵּאמְרוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
2,"Jeremia",10,11,"<BD[","(i_guttural)",,"<:ABADW.",,"עֲבַדוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
3,"Jeremia",10,11,">BD[","(i_aleph)",,"J;>BADW.",,"יֵאבַדוּ","p3","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
4,"Daniel",2,4,"XJH[","(iii_he,i_guttural)",,"X:EJIJ",,"חֱיִי","p2","sg","m","impv","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
5,"Daniel",2,4,">MR[","(i_aleph)",,">:EMAR",,"אֱמַר","p2","sg","m","impv","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
6,"Daniel",2,4,"XWH[","(iii_he,i_guttural)",,"N:XAW.;75>",,"נְחַוֵּֽא","p1","pl","unknown","impf","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
7,"Daniel",2,5,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
8,"Daniel",2,5,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
9,"Daniel",2,5,"JD<[","(i_waw,iii_guttural)",,"T:HOWD:<W.N.ANIJ",,"תְהֹֽודְעוּנַּנִי","p2","pl","m","impf","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
10,"Daniel",2,5,"<BD[","(i_guttural)",,"T.IT:<AB:DW.N",,"תִּתְעַבְדוּן","p2","pl","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
11,"Daniel",2,5,"FJM[","(ii_yod)",,"JIT.:F@M75W.N",,"יִתְּשָׂמֽוּן","p3","pl","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
12,"Daniel",2,6,"XWH[","(iii_he,i_guttural)",,"T.:HAX:AWON",,"תְּֽהַחֲוֹן","p2","pl","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
13,"Daniel",2,6,"QBL[","(regular)",,"T.:QAB.:LW.N",,"תְּקַבְּלוּן","p2","pl","m","impf","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
14,"Daniel",2,6,"XWH[","(iii_he,i_guttural)",,"HAX:AWO75NIJ",,"הַחֲוֹֽנִי","p2","pl","m","impv","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
15,"Daniel",2,7,"<NH[","(iii_he,i_guttural)",,"<:ANOW",,"עֲנֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
16,"Daniel",2,7,">MR[","(i_aleph)",,">@M:RIJN",,"אָמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
17,"Daniel",2,7,">MR[","(i_aleph)",,"J;>MAR",,"יֵאמַר","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
18,"Daniel",2,7,"XWH[","(iii_he,i_guttural)",,"N:HAX:AW;75H",,"נְהַחֲוֵֽה","p1","pl","unknown","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
19,"Daniel",2,8,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
20,"Daniel",2,8,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
21,"Daniel",2,8,"JD<[","(i_waw,iii_guttural)",,"J@DA<",,"יָדַע","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
22,"Daniel",2,8,"ZBN[","(regular)",,"Z@B:NIJN",,"זָבְנִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
23,"Daniel",2,8,"XZH[","(iii_he,i_guttural)",,"X:AZ;JTOWN",,"חֲזֵיתֹון","p2","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
24,"Daniel",2,9,"JD<[","(i_waw,iii_guttural)",,"T:HOWD:<UN.ANIJ",,"תְהֹֽודְעֻנַּנִי","p2","pl","m","impf","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
25,"Daniel",2,9,"CXT[","(ii_guttural)",,"C:XIJT@H",,"שְׁחִיתָה","unknown","sg","f","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
26,"Daniel",2,9,"ZMN[","(regular)",,"*HZMNTWN",,"הזמנתון","p2","pl","m","perf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
27,"Daniel",2,9,">MR[","(i_aleph)",,"M;>MAR",,"מֵאמַר","unknown","unknown","unknown","infc","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
28,"Daniel",2,9,"CNH[","(iii_he)",,"JIC:T.AN.;>",,"יִשְׁתַּנֵּא","p3","sg","m","impf","etpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
29,"Daniel",2,9,">MR[","(i_aleph)",,">:EMARW.",,"אֱמַרוּ","p2","pl","m","impv","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
30,"Daniel",2,9,"JD<[","(i_waw,iii_guttural)",,">IN:D.A<",,"אִנְדַּע","p1","sg","unknown","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
31,"Daniel",2,9,"XWH[","(iii_he,i_guttural)",,"T.:HAX:AWUN.A75NIJ",,"תְּהַחֲוֻנַּֽנִי","p2","pl","m","impf","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
32,"Daniel",2,10,"<NH[","(iii_he,i_guttural)",,"<:ANOW",,"עֲנֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
33,"Daniel",2,10,">MR[","(i_aleph)",,">@M:RIJN",,"אָמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
34,"Daniel",2,10,"JKL[","(i_waw)",,"JW.KAL",,"יוּכַל","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
35,"Daniel",2,10,"XWH[","(iii_he,i_guttural)",,"HAX:AW@J@H",,"הַחֲוָיָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
36,"Daniel",2,10,"C>L[","(ii_guttural)",,"C:>;L",,"שְׁאֵל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
37,"Daniel",2,11,"C>L[","(ii_guttural)",,"C@>;L",,"שָׁאֵל","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
38,"Daniel",2,11,"XWH[","(iii_he,i_guttural)",,"J:XAW.IN.AH.",,"יְחַוִּנַּהּ","p3","sg","m","impf","pael","p3","sg","f",,,,,,,,,,,,,,,,,,,,,,,,
39,"Daniel",2,12,"BNS[","(regular)",,"B.:NAS",,"בְּנַס","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
40,"Daniel",2,12,"QYP[","(regular)",,"Q:YAP",,"קְצַף","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
41,"Daniel",2,12,">MR[","(i_aleph)",,">:AMAR",,"אֲמַר","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
42,"Daniel",2,12,">BD[","(i_aleph)",,"HOWB@D@H",,"הֹובָדָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
43,"Daniel",2,13,"NPQ[","(i_nun)",,"NEP:QAT",,"נֶפְקַת","p3","sg","f","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
44,"Daniel",2,13,"QVL[","(regular)",,"MIT:QAV.:LIJN",,"מִֽתְקַטְּלִין","unknown","pl","m","ptca","htpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
45,"Daniel",2,13,"B<H[","(iii_he,ii_guttural)",,"B:<OW",,"בְעֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
46,"Daniel",2,13,"QVL[","(regular)",,"HIT:Q:V@L@75H",,"הִתְקְטָלָֽה","unknown","unknown","unknown","infc","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
47,"Daniel",2,14,"TWB[","(ii_waw)",,"H:ATIJB",,"הֲתִיב","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
48,"Daniel",2,14,"NPQ[","(i_nun)",,"N:PAQ",,"נְפַק","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
49,"Daniel",2,14,"QVL[","(regular)",,"QAV.@L@H",,"קַטָּלָה","unknown","unknown","unknown","infc","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
50,"Daniel",2,15,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
51,"Daniel",2,15,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
52,"Daniel",2,15,"XYP[","(i_guttural)",,"M:HAX:Y:P@H",,"מְהַחְצְפָה","unknown","sg","f","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
53,"Daniel",2,15,"JD<[","(i_waw,iii_guttural)",,"HOWDA<",,"הֹודַע","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
54,"Daniel",2,16,"<LL[","(geminate,i_guttural)",,"<AL",,"עַל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
55,"Daniel",2,16,"B<H[","(iii_he,ii_guttural)",,"B:<@H",,"בְעָה","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
56,"Daniel",2,16,"NTN[","(i_nun)",,"JIN:T.;N",,"יִנְתֵּן","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
57,"Daniel",2,16,"XWH[","(iii_he,i_guttural)",,"HAX:AW@J@H",,"הַֽחֲוָיָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
58,"Daniel",2,17,">ZL[","(i_guttural)",,">:AZAL",,"אֲזַל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
59,"Daniel",2,17,"JD<[","(i_waw,iii_guttural)",,"HOWDA75<",,"הֹודַֽע","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
60,"Daniel",2,18,"B<H[","(iii_he,ii_guttural)",,"MIB:<;>",,"מִבְעֵא","unknown","unknown","unknown","infc","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
61,"Daniel",2,18,">BD[","(i_aleph)",,"J:HOB:DW.N",,"יְהֹֽבְדוּן","p3","pl","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
62,"Daniel",2,19,"GLH[","(iii_he)",,"G:ALIJ",,"גֲלִי","p3","sg","m","perf","peil","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
63,"Daniel",2,19,"BRK[","(ii_guttural)",,"B.@RIK:",,"בָּרִךְ","p3","sg","m","perf","pael","unknown","unknown","unknown","p2","sg","m","impv","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
64,"Daniel",2,20,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
65,"Daniel",2,20,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
66,"Daniel",2,20,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
67,"Daniel",2,20,"BRK[","(ii_guttural)",,"M:B@RAK:",,"מְבָרַךְ","unknown","sg","m","ptcp","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
68,"Daniel",2,21,"CNH[","(iii_he)",,"M:HAC:N;>",,"מְהַשְׁנֵא","unknown","sg","m","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
69,"Daniel",2,21,"<DH[","(iii_he,i_guttural)",,"M:HA<:D.;H",,"מְהַעְדֵּה","unknown","sg","m","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
70,"Daniel",2,21,"QWM[","(ii_waw)",,"M:H@Q;JM",,"מְהָקֵים","unknown","sg","m","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
71,"Daniel",2,21,"JHB[","(i_waw,ii_guttural)",,"J@H;B",,"יָהֵב","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
72,"Daniel",2,21,"JD<[","(i_waw,iii_guttural)",,"J@D:<;J",,"יָדְעֵי","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
73,"Daniel",2,22,"GLH[","(iii_he)",,"G.@L;>",,"גָּלֵא","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
74,"Daniel",2,22,"STR[","(iii_guttural)",,"M:SAT.:R@T@>",,"מְסַתְּרָתָא","unknown","pl","f","ptcp","pael","unknown","unknown","unknown","unknown","pl","f","ptca","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
75,"Daniel",2,22,"JD<[","(i_waw,iii_guttural)",,"J@DA<",,"יָדַע","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
76,"Daniel",2,22,"CRH[","(iii_he,ii_guttural)",,"C:R;75>",,"שְׁרֵֽא","unknown","sg","m","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
77,"Daniel",2,23,"JDH[","(i_waw,iii_he)",,"M:HOWD;>",,"מְהֹודֵא","unknown","sg","m","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
78,"Daniel",2,23,"CBX[","(iii_guttural)",,"M:CAB.AX",,"מְשַׁבַּח","unknown","sg","m","ptca","pael","unknown","unknown","unknown","unknown","sg","m","ptcp","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
79,"Daniel",2,23,"JHB[","(i_waw,ii_guttural)",,"J:HAB:T.:",,"יְהַבְתְּ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
80,"Daniel",2,23,"JD<[","(i_waw,iii_guttural)",,"HOWDA<:T.ANIJ",,"הֹֽודַעְתַּנִי","p2","sg","m","perf","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
81,"Daniel",2,23,"B<H[","(iii_he,ii_guttural)",,"B:<;JN@>",,"בְעֵינָא","p1","pl","unknown","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
82,"Daniel",2,23,"JD<[","(i_waw,iii_guttural)",,"HOWDA<:T.E75N@>",,"הֹודַעְתֶּֽנָא","p2","sg","m","perf","haf","p1","pl","unknown",,,,,,,,,,,,,,,,,,,,,,,,
83,"Daniel",2,24,"<LL[","(geminate,i_guttural)",,"<AL",,"עַל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
84,"Daniel",2,24,"MNH[","(iii_he)",,"MAN.IJ",,"מַנִּי","p3","sg","m","perf","pael","unknown","unknown","unknown","p2","sg","m","impv","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
85,"Daniel",2,24,">BD[","(i_aleph)",,"HOWB@D@H",,"הֹובָדָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
86,"Daniel",2,24,">ZL[","(i_guttural)",,">:AZAL",,"אֲזַל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
87,"Daniel",2,24,">MR[","(i_aleph)",,">:AMAR",,"אֲמַר","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
88,"Daniel",2,24,">BD[","(i_aleph)",,"T.:HOWB;D",,"תְּהֹובֵד","p3","sg","f","impf","haf","unknown","unknown","unknown","p2","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
89,"Daniel",2,24,"<LL[","(geminate,i_guttural)",,"HA<;L:NIJ",,"הַעֵלְנִי","p2","sg","m","impv","haf","p1","sg","unknown","p3","sg","m","perf","haf","p1","sg","unknown",,,,,,,,,,,,,,,,
90,"Daniel",2,24,"XWH[","(iii_he,i_guttural)",,">:AXAW.;75>",,"אֲחַוֵּֽא","p1","sg","unknown","impf","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
91,"Daniel",2,25,"BHL[","(ii_guttural)",,"HIT:B.:H@L@H",,"הִתְבְּהָלָה","unknown","unknown","unknown","infc","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
92,"Daniel",2,25,"<LL[","(geminate,i_guttural)",,"HAN:<;L",,"הַנְעֵל","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
93,"Daniel",2,25,">MR[","(i_aleph)",,">:AMAR",,"אֲמַר","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
94,"Daniel",2,25,"CKX[","(iii_guttural)",,"HAC:K.AXAT",,"הַשְׁכַּחַת","p1","sg","unknown","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
95,"Daniel",2,25,"JD<[","(i_waw,iii_guttural)",,"J:HOWDA75<",,"יְהֹודַֽע","p3","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
96,"Daniel",2,26,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
97,"Daniel",2,26,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
98,"Daniel",2,26,"KHL[","(ii_guttural)",,"K.@H;L",,"כָּהֵל","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
99,"Daniel",2,26,"JD<[","(i_waw,iii_guttural)",,"HOWD@<UTANIJ",,"הֹודָעֻתַנִי","unknown","unknown","unknown","infc","haf","p1","sg","unknown",,,,,,,,,,,,,,,,,,,,,,,,
100,"Daniel",2,26,"XZH[","(iii_he,i_guttural)",,"X:AZ;JT",,"חֲזֵית","p1","sg","unknown","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
101,"Daniel",2,27,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
102,"Daniel",2,27,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
103,"Daniel",2,27,"C>L[","(ii_guttural)",,"C@>;L",,"שָׁאֵל","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
104,"Daniel",2,27,"GZR[","(iii_guttural)",,"G.@Z:RIJN",,"גָּזְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
105,"Daniel",2,27,"JKL[","(i_waw)",,"J@K:LIJN",,"יָכְלִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
106,"Daniel",2,27,"XWH[","(iii_he,i_guttural)",,"HAX:AW@J@H",,"הַֽחֲוָיָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
107,"Daniel",2,28,"GLH[","(iii_he)",,"G.@L;>",,"גָּלֵא","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
108,"Daniel",2,28,"JD<[","(i_waw,iii_guttural)",,"HOWDA<",,"הֹודַע","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
109,"Daniel",2,28,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
110,"Daniel",2,29,"SLQ[","(regular)",,"S:LIQW.",,"סְלִקוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
111,"Daniel",2,29,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
112,"Daniel",2,29,"GLH[","(iii_he)",,"G@L;>",,"גָלֵא","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
113,"Daniel",2,29,"JD<[","(i_waw,iii_guttural)",,"HOWD:<@K:",,"הֹודְעָךְ","p3","sg","m","perf","haf","p2","sg","m","p2","sg","m","impv","haf","p2","sg","m",,,,,,,,,,,,,,,,
114,"Daniel",2,29,"HWH[","(iii_he,i_guttural)",,"LEH:EW;75>",,"לֶהֱוֵֽא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
115,"Daniel",2,30,"GLH[","(iii_he)",,"G.:ELIJ",,"גֱּלִי","p3","sg","m","perf","peil","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
116,"Daniel",2,30,"JD<[","(i_waw,iii_guttural)",,"J:HOWD:<W.N",,"יְהֹודְעוּן","p3","pl","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
117,"Daniel",2,30,"JD<[","(i_waw,iii_guttural)",,"T.IN:D.A75<",,"תִּנְדַּֽע","p2","sg","m","impf","peal","unknown","unknown","unknown","p3","sg","f","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
118,"Daniel",2,31,"XZH[","(iii_he,i_guttural)",,"X@Z;H",,"חָזֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
119,"Daniel",2,31,"HWH[","(iii_he,i_guttural)",,"H:AWAJ:T@",,"הֲוַיְתָ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
120,"Daniel",2,31,"QWM[","(ii_waw)",,"Q@>;M",,"קָאֵם","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
121,"Daniel",2,31,"DXL[","(ii_guttural)",,"D.:XI75JL",,"דְּחִֽיל","unknown","sg","m","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
122,"Daniel",2,34,"XZH[","(iii_he,i_guttural)",,"X@Z;H",,"חָזֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
123,"Daniel",2,34,"HWH[","(iii_he,i_guttural)",,"H:AWAJ:T@",,"הֲוַיְתָ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
124,"Daniel",2,34,"GZR[","(iii_guttural)",,"HIT:G.:ZERET",,"הִתְגְּזֶרֶת","p3","sg","f","perf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
125,"Daniel",2,34,"MX>[","(iii_aleph,ii_guttural)",,"M:X@T",,"מְחָת","p3","sg","f","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
126,"Daniel",2,34,"DQQ[","(geminate)",,"HAD.;QET",,"הַדֵּקֶת","p3","sg","f","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
127,"Daniel",2,35,"DWQ[","(ii_waw)",,"D.@QW.",,"דָּקוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
128,"Daniel",2,35,"HWH[","(iii_he,i_guttural)",,"H:AWOW",,"הֲוֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
129,"Daniel",2,35,"NF>[","(i_nun,iii_aleph)",,"N:F@>",,"נְשָׂא","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
130,"Daniel",2,35,"CKX[","(iii_guttural)",,"HIC:T.:AKAX",,"הִשְׁתֲּכַח","p3","sg","m","perf","htpe","unknown","unknown","unknown","p2","sg","m","impv","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,
131,"Daniel",2,35,"MX>[","(iii_aleph,ii_guttural)",,"M:X@T",,"מְחָת","p3","sg","f","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
132,"Daniel",2,35,"HWH[","(iii_he,i_guttural)",,"H:AW@T",,"הֲוָת","p3","sg","f","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
